type,paperless_billing,payment_method,total_charges,contract_terminated,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support
Two year,Yes,Bank transfer (automatic),0.0,0,0,Yes,Yes,DSL,Yes,No,Yes,Yes
Two year,No,Mailed check,0.0,0,0,No,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Mailed check,108.15,1,0,No,No,DSL,Yes,Yes,No,No
Two year,No,Mailed check,0.0,0,0,Yes,Yes,DSL,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,151.65,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,820.5,1,0,No,No,Fiber optic,No,No,Yes,No
Two year,No,Mailed check,0.0,0,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Two year,No,Credit card (automatic),0.0,0,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,3046.05,1,0,Yes,No,Fiber optic,No,No,Yes,Yes
One year,Yes,Mailed check,0.0,0,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Two year,Yes,Bank transfer (automatic),0.0,0,0,No,Yes,DSL,Yes,Yes,No,Yes
Month-to-month,Yes,Bank transfer (automatic),5036.3,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Credit card (automatic),528.35,1,0,Yes,Yes,DSL,No,No,Yes,Yes
Month-to-month,Yes,Electronic check,39.65,1,1,No,No,DSL,No,No,Yes,No
Month-to-month,No,Mailed check,20.15,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,4749.15,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,30.2,1,0,Yes,Yes,DSL,No,Yes,No,No
Month-to-month,Yes,Mailed check,1093.1,1,0,No,Yes,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,316.9,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,3549.25,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Bank transfer (automatic),1105.4,1,0,No,No,Fiber optic,No,No,Yes,No
